Header Keywords,to int,to float,to bool,kws in dict,predefined val,regex,deducted kws
FRAMEIND,VBIN,EXPTIME,COOLER,TRIGGER,TEMPST,DATE-OBS,GAIN
CCDTEMP,HBIN,,HIGHCAP,ACQMODE,CCDSERN,UTTIME,RDNOISE
TEMPST,FINALCOL,,,SHUTTER,,UTDATE,NAXIS1
CCDSERN,FINALLIN,,,VCLKAMP,,,NAXIS2
PREAMP,INITCOL,,,PREAMP,,,
READRATE,INITLIN,,,VSHIFT,,,
VSHIFT,FRAMEIND,,,READRATE,,,
VCLKAMP,NFRAMES,,,,,,
ACQMODE,CCDTEMP,,,,,,
SHUTTER,TGTEMP,,,,,,
TRIGGER,,,,,,,
VBIN,,,,,,,
INITLIN,,,,,,,
INITCOL,,,,,,,
FINALLIN,,,,,,,
FINALCOL,,,,,,,
HBIN,,,,,,,
EXPTIME,,,,,,,
NFRAMES,,,,,,,
TGTEMP,,,,,,,
COOLER,,,,,,,
DATE-OBS,,,,,,,
UTTIME,,,,,,,
UTDATE,,,,,,,
HIGHCAP,,,,,,,
